,policy_name,policy_title,jurisdiction,policy_instrument,sector,policy_description,policy_type,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,last_update,Scope,Ambition,Implementation,Innovation,Total Score
139,Minimum Energy Performance Rating for Rental Properties,Minimum Energy Performance Rating for Rental Properties United Kingdom (2018),Subnational region,Building codes and standards,"Buildings, Construction","New Minimum Energy Efficiency Standards in England and Wales came into force on 1st April 2018, requiring all rental properties to have a minimum Energy Performance Certificate rating of E. The regulations came into force for new lets and renewals of tenancies in April 2018 and will apply to all existing tenancies from April 2020. It will be unlawful to rent a property below the minimum E rating, unless there is an applicable exemption. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,2018,,,Unknown,Mitigation,,5,2,4,2,3
140,Motor Fuel (Composition and Content) and the Biofuel (Labelling) (Amendment) Regulations,Motor Fuel (Composition and Content) and the Biofuel (Labelling) (Amendment) Regulations United Kingdom (2021),Country,"Regulatory Instruments, Codes and standards, Product standards","Transport, Heavy-duty vehicles, Light-duty vehicles","These Regulations amend The Motor Fuel Regulations of 1999 requiring the introduction of E10 petrol (petrol with up to 10% ethanol) at filling stations. The amendment to the Biofuel (Labelling) Regulations of 2004 changes the consumer message that must be displayed when E10 petrol is sold and replace references to European Directive 98/70/EC.
Switching to E10 can reduce the CO2 emissions from a petrol vehicle by around 2%.",Other low-carbon technologies and fuel switch,In force,2021,2021,,Unknown,Mitigation,01/05/2021,4,4,2,5,3.9
141,Municipal Government/Energy Company Partnership to Promote Energy Efficiency,Municipal Government/Energy Company Partnership to Promote Energy Efficiency United Kingdom (2006),Country,Funds to sub-national governments,Electricity and heat,,Energy efficiency,Ended,2006,,,Unknown,Mitigation,,4,4,3,2,3.2
142,"National Action Plan on Sustainable Procurement: ""Procuring the Future""","National Action Plan on Sustainable Procurement: ""Procuring the Future"" United Kingdom (2006)",Country,"Strategic planning, Procurement rules",General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Renewables, Non-energy use",Ended,2006,,,Unknown,Mitigation,,5,3,4,1,3
143,,,,,,,,,,,,,,,4,2,2,4,3
144,National Energy Efficiency Action Plan,National Energy Efficiency Action Plan United Kingdom (2011),Country,"Strategic planning, Formal & legally binding energy efficiency target",General,"The UK's 2nd Energy Efficiency Action Plan (EEAP) brought together in one document all the then current and planned policies and measures the government and the Devolved Administrations have in place to improve energy efficiency. This updated the previous EEAP of 2007 and fulfilled the UK's obligation under the Energy End-Use Efficiency and Energy Services Directive (ESD) to report on progress towards an overall national indicative energy savings target of 9% by 2016. It was superseded by the 2014 Energy Efficiency Action Plan under the EU Energy Efficiency Directive (see separate entry). IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,Ended,2011,,,Unknown,Mitigation,,3,5,3,2,3.3
145,National Energy Efficiency Action Plan,National Energy Efficiency Action Plan United Kingdom (2014),Country,Strategic planning,General,"The National Energy Efficiency Action Plan sets out the UK's energy efficiency policy and programmes and action that will be taken to meet the targets and other legislative requirements of the EU Energy Effciency Directive and includes the Building Renovation Strategy also required by the Directive. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,2014,,,Unknown,Mitigation,,4,2.5,3,1,2.45
146,National Energy Efficiency Database,National Energy Efficiency Database United Kingdom (2011),Country,Information provision,General,"The National Energy Efficiency Data-Framework (NEED) was set up to provide a better understanding of energy use and energy efficiency in domestic and non-domestic buildings in Great Britain. The data framework matches gas and electricity consumption data, collected for BEIS sub-national energy consumption statistics, with information on energy efficiency measures installed in homes, from the Homes Energy Efficiency Database (HEED), Green Deal, the Energy Company Obligation (ECO) and the Feed-in Tariff scheme. It also includes data about property attributes and household characteristics, obtained from a range of sources. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,2011,,,Unknown,Mitigation,,2.5,3,2,2,2.4
147,National Infrastructure Strategy,National Infrastructure Strategy United Kingdom (2020),Country,"Policy support, Strategic planning","Transport, Industry, Electricity and heat, Renewables, Buildings, Agriculture and forestry, Forestry","As part of its COVID-19 economic response, the UK government has announced a National Infrastructure plan, which aims at developing national infrastructure to enable the country reaching its carbon neutrality goal. Key measures include:
• Significant investment in offshore wind and into modern ports and manufacturing infrastructure to expand the share of energy generation from
renewables;
• Providing up to £525 million to bring forward large-scale nuclear and invest in the development of advanced nuclear technologies;
• £1 billion to support the establishment of carbon capture and storage in four industrial clusters;
• Investing in hydrogen to scale up the UK’s capacity to produce both ‘blue’ and ‘green’ hydrogen;
• Investing £1.3 billion in charging infrastructure to accelerate the mass adoption of electric vehicles ahead of ending the sale of new petrol and diesel cars by 2030;
• Enabling heat decarbonisation by supporting the roll-out of existing technologies like heat pumps and development of emerging technologies like
hydrogen;
• Funding to help England to meet its share of the Climate Change Committee’s recommendations to plant 30,000 hectares of trees a year in the UK; and
• Investing £5.2 billion by 2027 to better protect 336,000 properties and boost resilience of communities to the increased risk of flooding and coastal erosion resulting from climate change.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",In force,2020,,,High,Mitigation,01/01/2022,2,2.5,2,3,2.45
148,National Renewable Energy Action Plan (NREAP),National Renewable Energy Action Plan (NREAP) United Kingdom (2010),Country,"Policy support, Strategic planning, Target, Renewable energy target, Formal & legally binding renewable energy target","Electricity and heat, Renewables, General","Under the EU Directive 2009/28/EC, member countries of the European Union were obliged to draft, and submit to the European Commission, National Renewable Action Plans (NREAPs) outlining pathways that will allow them to meet their 2020 renewable energy targets.
UK targets by 2020:
15% share of energy generated from renewable sources in gross final energy consumption;
12% of heat consumption met by renewable sources;
31% of electricity demand met by electricity generated from renewable energy sources;
10% of energy demand met by renewable energy sources. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,Ended,2010,,2020,Unknown,Mitigation,,4,2.5,5,4,3.75
149,,,,,,,,,,,,,,,3,2,3,5,3.3
150,Nationally Determined Contribution - NDC,Nationally Determined Contribution - NDC United Kingdom (2022),Country,"Climate strategy, Political & non-binding climate strategy, GHG reduction target, Political & non-binding GHG reduction target",General,"The UK resubmitted its 2020 NDC target in 2022. Its latest NDC, however, provides more detail on additional information that improves transparency around the UK's decarbonization plans.
The UK's NDC covers all sectors and gases. For CO2, CH4 and N2O the reference year is 1990 and for F-gases the reference year is 1995. The UK’s overall absolute target is to reduce GHG emissions at least by 68% (including LULUCF) by 2030 compared with reference levels. Emissions from International Aviation and Shipping are not included.
The UK has a policy framework in force establishing the binding commitment of net zero emissions by 2050, and Scotland sets bolder goals to reach net-zero in 2045 and 75% below 1990 by 2030. Wales pledges at least 80% reduction by 2050. 
The Climate Change Act introduced carbon budgets for the UK Government, which cap emissions over successive five-year periods and must be set 12 years in advance.
The UK government is putting into force the Clean Growth Strategy, which is a Ten Point Plan for a green industrial revolution, encompassing clean energy, buildings, transport and technologies. Moreover, the government pushes for individual plans across key sectors such as Energy White Paper, Transport Decarbonisation Plan and Heat and Buildings Strategy (UK NDC, 2020).
UK’s NDC establishes a reduction of 68% of 1990 levels including LULUCF emissions. If LULUCF is excluded, this is equivalent to 69% or 251 MtCO2e. CAT classifies this as strong target and once the UK adopts national policies (2030 ban on the sale of fossil fuel cars and a ramping up of renewable energy investment, particularly into offshore wind) it will bring their emissions in line with the 1.5°C goal. Also, the UK has a net-zero goal by 2050. CAT cannot rate, at this moment, the UK target due to complexities derived from Brexit (Climate Action Tracker, 2021).
 ","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",In force,2022,2022,2030,,Mitigation,30/01/2023,5,5,5,3,4.4
151,Net Zero Growth Plan,Net Zero Growth Plan United Kingdom (2023),Country,"Policy support, Strategic planning, Target",General,"The UK government has announced a plan to achieve its net zero targets, including a Carbon Budget Delivery Update with proposals and policies to meet carbon budgets. Additionally, there's a focus on advancing the new nuclear programme, establishing a taskforce for solar power ambitions, and making long-term commitments to Carbon Capture, Utilization, and Storage (CCUS).","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",In force,2023,,2050,,Mitigation,22/02/2024,5,3,3,1,2.8
152,Net Zero Innovation portfolio,Net Zero Innovation portfolio United Kingdom (2021),Country,"Direct investment, RD&D funding, Policy support, Strategic planning, Research & Development and Deployment (RD&D), Technology development",General,"The Net Zero innovation Portfolio establishes a £1 billion fund  for low-carbon technologies and systems to advance decarbonisation in the UK. This fund was announced  in the UK Government's ten point plan.
The portfolio outlines offshore wind, CCS, nuclear energy, hydrogen, industrial fuel switch and buildings among the priority areas to invest and support the development of technologies.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",In force,2021,2021,,Unknown,Mitigation,01/05/2021,5,2.5,3,2,2.95
153,Net Zero Strategy: Build Back Greener,Net Zero Strategy: Build Back Greener United Kingdom (2021),Country,"Policy support, Strategic planning, Target, GHG reduction target, Political & non-binding GHG reduction target",General,"The United Kingdom's LTS refers to its 2050 net zero target enshrined in law since 2019. The strategy is structured around 4 key principles:
1. To work with the grain of consumer choice: no one will be required to rip out their existing boiler or scrap their current car
2. To ensure the biggest polluters pay the most for the transition through fair carbon pricing
3. To ensure that the most vulnerable are protected through Government supportin the form of energy bill discounts, energy efficiency upgrades, and more
4. To work with businesses to continue delivering deep cost reductions in low carbon tech through support for the latest state of the art kit to bring down costs for consumers and deliver benefits for businesses.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",In force,2021,2021,2050,,Mitigation,01/01/2022,4,4,5,2,3.6
154,Net-Zero Housing in Pontardawe,Net-Zero Housing in Pontardawe United Kingdom (2019),City,Demonstration project,Buildings,"One of the first net-zero neighborhood is to be built in Pontardawe, South Wales. The complex will be constituted of 35 homes, equipped with ""solar panels and energy-storing batteries, ground-source heat pumps and innovative ventilation systems"".","Energy efficiency, Renewables",In force,2019,2020,,Unknown,Mitigation,,2,2,2,2,2
155,,,,,,,,,,,,,,,4,3,2,5,3.6
156,,,,,,,,,,,,,,,2,4,5,2,3.2
157,North Sea Transition Deal,North Sea Transition Deal United Kingdom (2021),Country,"Economic instruments, Direct investment, Infrastructure investments, RD&D funding, Policy support, Strategic planning","Electricity and heat, Gas, Oil, Industry","Aligned with the Energy White Paper and Ten Point Plan, this document aims at 60Mt reduction of greenhouse gas emissions including 15Mt through the progressive decarbonisation of UK Continental Shelf production, investment up to £14-16 billion by 2030 in new energy technologies (e.g. hydrogen and CCUS) and supporting energy efficiency measures. 
The North Sea Transition Deal, will enable the oil and gas sector to drive the energy transition, securing jobs and supporting decarbonisation of industries and the whole supply chain across the UK.","Energy efficiency, Other low-carbon technologies and fuel switch",In force,2021,2021,,Unknown,Mitigation,01/05/2021,2,3,2,4,2.9
158,Northern Ireland Sustainable Energy Programme,Northern Ireland Sustainable Energy Programme United Kingdom (1997),Subnational region,"Grants and subsidies, Codes and standards, Other mandatory requirements",Buildings,"A sum of money is collected from all electricity customers through a Public Service Obligation (PSO) which is used to provide funding for energy efficiency and renewable energy schemes. Previously known as the Energy Efficiency Levy (EEL), it is now known as the Northern Ireland Sustainable Energy Programme (NISEP). The strategic objectives of the NISEP are to contribute to the achievement of: Efficiency in the use of energy; Socially and environmentally sustainable long-term energy supplies at best value to customers whilst also having due regard to vulnerable customers. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,1997,,,Unknown,Mitigation,,2.5,2,4,2,2.5
159,Offshore Wind Capital Grants Scheme,Offshore Wind Capital Grants Scheme United Kingdom (2002),Country,Grants and subsidies,"Electricity and heat, Renewables",,Renewables,Ended,2002,,,Unknown,Mitigation,,4,2,5,4,3.6
160,Offshore Wind Net Zero Investment Roadmap,Offshore Wind Net Zero Investment Roadmap United Kingdom (2023),Country,"Economic instruments, Fiscal or financial incentives, Feed-in tariffs or premiums, Tendering schemes, Tax relief, Policy support, Strategic planning",Electricity and heat,"The Offshore Wind Net Zero Investment Roadmap sets targets aiming to deploy up to 50GW of offshore wind energy by 2030, with an additional capacity of up to 5GW in floating offshore wind. This initiative is integral to the UK's energy security enhancement, facilitating the decarbonization of its power system by 2035, and ultimately achieving its net zero emissions target by 2050.",Renewables,In force,2023,,,,Mitigation,23/02/2024,5,4,2,4,3.8
161,Oil and Gas Strategy,Oil and Gas Strategy United Kingdom (2021),Country,"Policy support, Strategic planning","Electricity and heat, CCS, Gas, Oil, Renewables, Industry, Fossil fuel exploration and production, Industrial energy related","The central obligation is to take appropriate steps to assist the Secretary of State in meeting the net zero target, including by reducing greenhouse gas emissions from sources such as flaring, venting and power generation, supporting carbon capture and storage projects, and unlock clean hydrogen production.
OGA encourages and supports industry to be proactive in identifying and taking the steps necessary to reduce their greenhouse gas emissions as far as reasonable in the circumstances;",Other low-carbon technologies and fuel switch,In force,2020,2021,,Unknown,Mitigation,01/05/2021,4,5,3,2,3.5
162,On-street Residential Chargepoint Scheme,On-street Residential Chargepoint Scheme United Kingdom (2016),Country,Grants and subsidies,"Transport, Low-emissions mobility","The cost of charging infrastructure has come down significantly over the last few years, and the cost for many innovative new on-street solutions can be as low as £200-£500 per unit. The maximum amount the Office for Low Emission Vehicles (OLEV) will fund per chargepoint is £7,500, but OLEV anticipates costs to be much cheaper than this in most cases. Demonstrating value for money consideration in the application is crucial, and prices will be challenged to ensure that they are appropriate. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2016,,,Unknown,Mitigation,,4,3,2,4,3.3
163,Options Paper on Curbing Business Energy Use,Options Paper on Curbing Business Energy Use United Kingdom (1999),Country,Policy support,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Renewables",Ended,1999,,,Unknown,Mitigation,,2,2.5,2,1,1.85
164,PAS 2050: Specification for assessing the life-cycle GHG emissions of goods and services,PAS 2050: Specification for assessing the life-cycle GHG emissions of goods and services United Kingdom (2008),Country,"Advice or aid in implementation, Information provision",General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Renewables, Non-energy use",In force,2008,,,Unknown,Mitigation,,2,4,5,5,4.1
165,Planning and Energy Act,Planning and Energy Act United Kingdom (2008),Subnational region,"Regulatory Instruments, Other mandatory requirements",Buildings,"Enacted on 27 November 2008, the Planning and Energy Act enables local planning authorities in England and Wales to set requirements for energy use and energy efficiency in local plans. It allows local authorities to establish their own requirements for a proportion of energy used in development plans to come from renewable sources, to be low carbon, or to comply with energy efficiency standards that exceed the requirements of existing building regulations. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,2008,,,Unknown,Mitigation,,2,3,2,3,2.6
166,Plug-in Car Grant,Plug-in Car Grant United Kingdom (2011),Country,Grants and subsidies,"Transport, Light-duty vehicles",,Energy efficiency,In force,2011,,,Unknown,Mitigation,,2.5,3,4,1,2.5
167,Plug-in Motorcycle Grant,Plug-in Motorcycle Grant United Kingdom (2018),Country,Grants and subsidies,"Transport, Light-duty vehicles","The OLEV (Office for Low Emission Vehicles) Plug-in Motorcycle Grant (PIMG) only applies to a new motorcycle or scooter that meets all of the eligibility criteria for the scheme, as set out on OLEVs website, and that has been approved by OLEV. These criteria are updated regularly, for example, during the course of the grant scheme new safety requirements or European regulations or standards come into force for motorcycles or scooters. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2018,,,Unknown,Mitigation,,4,3,3,3,3.2
168,Preferential Tax Regimes for Biofuels,Preferential Tax Regimes for Biofuels United Kingdom (2002),Country,Tax relief,"Transport, Light-duty vehicles",Legislative,"Energy efficiency, Other low-carbon technologies and fuel switch",In force,2002,,,Unknown,Mitigation,,2,5,4,3,3.6
169,Public Sector Energy Efficiency Loan Scheme (Salix Finance Ltd.),Public Sector Energy Efficiency Loan Scheme (Salix Finance Ltd.) United Kingdom (2004),Country,Loans,"Buildings, Industry","Salix Finance Ltd. provides interest-free Government funding to the public sector to improve energy efficiency, reduce carbon emissions and lower energy bills. Salix is funded by the Department for Business, Energy and Industrial Strategy, the Department for Education, the Welsh Government and the Scottish Government and was established in 2004 as an independent, publicly funded company, dedicated to providing the public sector with loans for energy efficiency projects. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,2004,,,Unknown,Mitigation,,2.5,2,2,5,3
170,Reduced VAT for energy-saving materials,Reduced VAT for energy-saving materials United Kingdom (1998),Country,Tax relief,"Buildings, Heating and cooling",,Energy efficiency,In force,1998,,,Unknown,Mitigation,,5,2,2,3,2.9
171,Regional Approval for Renewable Energy Projects,Regional Approval for Renewable Energy Projects United Kingdom (2004),Country,"Other mandatory requirements, Policy support",Electricity and heat,,Renewables,In force,2004,,,Unknown,Mitigation,,5,4,3,1,3.1
172,Renewable Energy Guarantees of Origin (REGOs),Renewable Energy Guarantees of Origin (REGOs) United Kingdom (2003),Country,"Endorsement label, Monitoring, Codes and standards, GHG emission reduction crediting and offsetting mechanism","Electricity and heat, Renewables",,Renewables,In force,2003,,,Unknown,Mitigation,,3,3,2,1,2.2
173,Renewable Energy Strategy,Renewable Energy Strategy United Kingdom (2009),Country,"Feed-in tariffs or premiums, Policy support, Institutional creation, Strategic planning, Regulatory Instruments, Technology deployment and diffusion, Technology development, GHG reduction target, Renewable energy target","Electricity and heat, Renewables, Transport, General","The UK Renewable Energy Strategy 2009 is a white paper outlining how the UK will meet its legally-binding target to ensure 15% of energy comes from renewable energy sources by 2020.
Under the 2008 Climate Change Act, the UK must meet legally binding carbon ""budgets"", committing the UK to cuts its emissions by 34% by 2020 and 80% by 2050.
The Strategy comprises three primary 2020 targets:
Over 30% of electricity to be generated from renewable energy sources, mostly from wind power, with biomass, hydro, wave and tidal power playing important roles;
12% of heat to be generated from renewable energy sources, from a large range of sources (biomass, biogas, solar, heat pumps);
10% of transport energy to come from renewable energy sources.
The key measures to achieve the targets are:
An expansion and extension of the Renewables Obligation, requiring energy suppliers to sell larger amounts of renewable energy. New measures to increase financial support for offshore wind will also be considered.
Introducing payment schemes to support the production of renewable heat and small-scale clean electricity generation by households, industry, businesses and communities.
New guaranteed payments will be provided through feed-in tariff schemes from 2010 onwards, and a Renewable Heat Incentive from 2011 onwards. Before the schemes take effect, GBP 45 million in grants have been committed.
The Renewable Transport Fuel Obligation will be amended or replaced, taking into account sustainability issues, to ensure transport fuels contain a rising amount of renewable biofuels.",Renewables,Ended,2009,,2020,Unknown,Mitigation,,2,2.5,2,4,2.75
174,Renewable Heat Incentive (RHI) for domestic and non-domestic generators,Renewable Heat Incentive (RHI) for domestic and non-domestic generators United Kingdom (2011),Country,Feed-in tariffs or premiums,"Electricity and heat, Renewables","Eligible technologies: Aerothermal, Hydrothermal, Biogas, Biomass, Geothermal and Solar thermal",Renewables,In force,2011,,,Unknown,Mitigation,,2,2,2,4,2.6
175,Renewable Transport Fuels Obligation (RTFO),Renewable Transport Fuels Obligation (RTFO) United Kingdom (2008),Country,"Obligation schemes, Renewable energy target",Transport,,Renewables,In force,2008,,,Unknown,Mitigation,,2,3,2,1,2
176,Renewables Obligation,Renewables Obligation United Kingdom (2002),Country,Obligation schemes,"Electricity and heat, Renewables",Legislative,Renewables,In force,2002,,,Unknown,Mitigation,,3,5,3,3,3.6
177,,,,,,,,,,,,,,,3,2.5,3,4,3.15
178,Research & Development and Demonstration of Wave and Tidal-stream Technologies,Research & Development and Demonstration of Wave and Tidal-stream Technologies United Kingdom (2000),Country,"Fiscal or financial incentives, Demonstration project",Electricity and heat,,Renewables,In force,2000,,,Unknown,Mitigation,,2,3,2,1,2
179,Research Councils Energy Programme (RCEP),Research Councils Energy Programme (RCEP) United Kingdom (2004),Country,"Technology deployment and diffusion, Research & Development and Deployment (RD&D), Demonstration project, Research programme, Technology development","Electricity and heat, Renewables",,"Renewables, Energy efficiency",In force,2004,,,Unknown,Mitigation,,2,2.5,2,4,2.75
180,Road to Zero Strategy,Road to Zero Strategy United Kingdom (2018),Country,"Policy support, Strategic planning, Target","Transport, Low-emissions mobility","This policy sets out a target of at least 50%, and as many as 70%, of new car sales and up to 40% of new van sales being ultra low emission by 2030.",Other low-carbon technologies and fuel switch,In force,2018,,,,Mitigation,01/01/2022,4,5,5,1,3.6
181,Salix Project,Salix Project United Kingdom (2006),Country,Loans,Buildings,,Energy efficiency,In force,2006,,,Unknown,Mitigation,,2,2,5,4,3.2
182,Scotland - Public Sector Central Energy Efficiency Fund (CEEF),Scotland - Public Sector Central Energy Efficiency Fund (CEEF) United Kingdom (2004),Subnational region,Loans,Buildings,"The CEEF provides money through a revolving fund to all of Scotland's local authorities, the health boards and Scottish Water for investment in a number of energy efficiency measures such as draught proofing, lighting and insulation, which bring about energy, cost and carbon savings. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,2004,,,Unknown,Mitigation,,2,3,5,5,3.8
183,Scottish Biomass Support Scheme,Scottish Biomass Support Scheme United Kingdom (2006),Subnational region,Grants and subsidies,"Electricity and heat, Renewables","The Scottish Biomass Support Scheme was launched in 2006, with GBP 7.5 million in funding over the financial years 2006-07 and 2007-08. The capital grant scheme is applicable to all formally constituted organisations in Scotland, both public and private, of varying sizes (micro-enterprises and SMEs). Barring exceptional circumstances, the maximum capital grant allowed is GBP 400 000. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Other low-carbon technologies and fuel switch, Renewables",Ended,2006,,,Unknown,Mitigation,,2,5,2,5,3.8
184,Scottish Energy Strategy,Scottish Energy Strategy United Kingdom (2017),Subnational region,Strategic planning,Electricity and heat,"This long-term Strategy is designed to guide decision making between now and the middle of the century – over 30 years in the future. It sets two new targets for the Scottish energy system by 2030: • The equivalent of 50% of the energy for Scotland’s heat, transport and electricity consumption to be supplied from renewable sources; • An increase by 30% in the productivity of energy use across the Scottish economy.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",In force,2017,,,Unknown,Mitigation,,3,4,5,2,3.4
185,Scottish SME Loan Fund,Scottish SME Loan Fund United Kingdom (2008),Subnational region,Loans,Buildings,"The SME Loan provides unsecured, interest free loans from £1,000 up to £100,000 for the installation of energy efficient measures such as lighting and heating upgrades, double glazing, insulation and much more. Since its launch in 2008, the SME Loan has provided Scottish businesses with over £26,24 million in loans for over 968 projects, resulting in an estimated financial saving to businesses of over £48.02 million. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,2008,,,Unknown,Mitigation,,3,5,2,5,4
186,Sector Resilience Plans: Energy,Sector Resilience Plans: Energy United Kingdom (2014),Country,Strategic planning,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Non-energy use, Other low-carbon technologies and fuel switch",In force,2014,,,Unknown,Mitigation,,5,3,4,3,3.6
187,Smart Metering and Billing,Smart Metering and Billing United Kingdom (2007),Country,"Other mandatory requirements, Information provision",Buildings,,"Energy service demand reduction and resource efficiency, Energy efficiency",In force,2007,,,Unknown,Mitigation,,5,2.5,3,5,3.85
188,Smart Metering Implementation Programme,Smart Metering Implementation Programme United Kingdom (2010),Country,Advice or aid in implementation,Electricity and heat,,"Energy service demand reduction and resource efficiency, Energy efficiency",In force,2010,,,Unknown,Mitigation,,3,3,2,4,3.1
189,Social Housing Decarbonisation Fund and Home Upgrade Grant allocations,Social Housing Decarbonisation Fund and Home Upgrade Grant allocations United Kingdom (2023),Country,"Economic instruments, Fiscal or financial incentives, Grants and subsidies, Loans",Electricity and heat,"The government allocates £1.8 billion through various schemes to upgrade social homes and public buildings, enhancing their energy efficiency. This initiative is integral to reducing carbon emissions from the housing and public sectors, contributing to national climate goals.",Energy efficiency,In force,2023,,,,Mitigation,23/02/2024,5,4,5,5,4.7
190,Stamp Duty Relief for Zero Carbon Homes,Stamp Duty Relief for Zero Carbon Homes United Kingdom (2007),Country,Tax relief,"Buildings, Heating and cooling, Hot water and cooking, Appliances",,Energy efficiency,Ended,2007,,2012,Unknown,Mitigation,,4,4,2,2,3
191,Support for Ultra-Low Emission Vehicles (ULEVs),Support for Ultra-Low Emission Vehicles (ULEVs) United Kingdom (2015),Country,"Infrastructure investments, Fiscal or financial incentives, Technology development","Transport, Low-emissions mobility, Heavy-duty vehicles, Light-duty vehicles","The Northern Powerhouse Investment Fund (NPIF) will invest a further £390 million by 2020-21 to support ultra-low emission vehicles (ULEVs), renewable fuels, and connected and autonomous vehicles (CAVs). This includes £80 million for ULEV charging infrastructure, £150 million in support for low emission buses and taxis, £20 million for the development of alternative aviation and heavy goods vehicle fuels, and £100 million for new UK CAV testing infrastructure. In addition to the tax incentives for ULEVs in company tax and salary schemes set out in the tax chapter, from today to the end of March 2019 the government will also offer 100% first-year allowances to companies investing in charge-points for electric vehicles. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2015,,,Unknown,Mitigation,,2.5,2,5,4,3.3
192,Sustainable Transport Policy,Sustainable Transport Policy United Kingdom (2007),Country,Policy support,Transport,,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Renewables",In force,2007,,,Unknown,Mitigation,,2,3,4,1,2.4
193,Tax Benefits for Ultra Low Emission Vehicles,Tax Benefits for Ultra Low Emission Vehicles United Kingdom (2017),Country,Tax relief,"Transport, Low-emissions mobility, Light-duty vehicles","Ultra low emission vehicles (ULEVs) are usually defined as vehicles that emit less than 75g of carbon dioxide (CO2) for every kilometre travelled. They will typically include an electric powertrain. Both private and business users of ULEVs receive a number of tax benefits. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2017,,,Unknown,Mitigation,,2.5,5,2,2,3
194,Ten Point Plan,Ten Point Plan United Kingdom (2020),Country,"Policy support, Strategic planning, Target, Renewable energy target, Political & non-binding renewable energy target",General,"It is a strategic plan for a Green Industrial Revolution. The ten points that the government will place efforts in the next years are encompasses clean power generation, reduce emissions in industry, transport and building sectors and increase the woodlands in UK to build a path towards a net-zero society.
As direct targets, the plan outlines production of 40 GW of offshore wind power by 2030, to have 10Mt of carbon captured per year by 2030 due to investments in CCS. 
 ","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",In force,2020,,,High,Mitigation,01/05/2021,5,2.5,2,2,2.75
195,The Carbon Accounting (Provision for 2019) Regulations 2021,The Carbon Accounting (Provision for 2019) United Kingdom (2021),Country,"Regulatory Instruments, Monitoring",General,The regulation make provisions for carbon accounting rules for calculating the UK's 2019 carbon budget as mandated under the Climate Change Act 2008.,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",In force,2021,,,,Mitigation,08/04/2022,2,4,4,4,3.6
196,The Carbon Trust,The Carbon Trust United Kingdom (2001),Country,"Information provision, Policy support","Industry, Electricity and heat",,Energy efficiency,Ended,2001,,,Unknown,Mitigation,,3,2.5,4,5,3.65
197,The Energy Savings Trust,The Energy Savings Trust United Kingdom (1992),Country,"Information provision, Advice or aid in implementation","Transport, Buildings, Heating and cooling, Appliances, Hot water and cooking",,Energy efficiency,Ended,1992,,,Unknown,Mitigation,,2,4,5,3,3.5
